100,0,1,2,3,4,DETECTION,PREDICTION
1884,4,2,1,0,0,16,16
1885,4,1,2,0,0,16,20
1886,4,2,1,0,0,16,16
1887,4,1,2,0,0,16,16
1888,4,2,1,0,0,16,16
1889,4,1,2,0,0,16,16
1890,4,2,1,0,0,16,16
1891,4,1,2,0,0,16,16
1892,4,2,2,0,0,16,16
1893,4,1,2,1,0,20,16
1894,4,2,2,1,0,20,16
1895,4,1,2,2,0,20,16
1896,4,1,2,1,1,20,16
1897,4,0,2,2,0,16,20
1898,4,0,2,1,1,20,16
1899,4,0,2,2,0,16,20
1900,4,0,2,1,1,20,20
1901,4,0,2,2,0,16,20
1902,4,0,2,1,1,20,20
1903,4,0,2,2,0,16,20
1904,4,0,2,2,1,20,20
1905,4,0,2,3,0,16,20
1906,4,0,2,3,1,20,20
1907,4,0,2,4,0,16,20
1908,4,0,1,4,1,20,20
1909,4,0,2,3,0,16,20
1910,4,0,1,3,1,20,20
1911,4,0,2,2,0,16,20
1912,4,0,1,2,1,20,20
1913,4,0,2,1,0,16,20
1914,4,0,1,1,1,20,20
1915,4,0,2,0,0,16,20
1916,4,0,1,0,1,16,16
1917,4,0,2,0,0,16,20
1918,4,0,1,0,1,16,16
1919,4,0,2,0,0,16,16
1920,4,0,1,0,1,16,16
1921,4,0,2,0,0,16,16
1922,4,0,1,0,1,16,16
1923,4,0,2,0,0,16,16
1924,4,0,2,0,1,16,16
1925,4,0,2,1,0,16,16
1926,4,0,2,1,1,20,16
1927,4,0,2,2,0,16,16
1928,4,1,2,1,0,20,16
1929,4,1,2,2,0,20,20
1930,4,2,2,1,0,20,16
1931,4,1,2,2,0,20,20
1932,4,2,2,1,0,20,16
1933,4,1,2,2,0,20,20
1934,4,2,2,1,0,20,16
1935,4,1,2,2,0,20,20
1936,4,2,2,2,0,20,16
1937,4,1,2,3,0,20,20
1938,4,2,2,3,0,20,16
1939,4,1,2,4,0,20,20
1940,4,2,1,4,0,20,16
1941,4,1,2,3,0,20,20
1942,4,2,1,3,0,20,16
1943,4,1,2,2,0,20,20
1944,4,1,1,2,1,20,16
1945,4,0,2,1,0,16,20
1946,4,0,1,1,1,20,16
1947,4,0,2,0,0,16,20
1948,4,0,1,0,1,16,20
1949,4,0,2,0,0,16,20
1950,4,0,1,0,1,16,16
1951,4,0,2,0,0,16,16
1952,4,0,1,0,1,16,16
1953,4,0,2,0,0,16,16
1954,4,0,1,0,1,16,16
1955,4,0,2,0,0,16,16
1956,4,0,2,0,1,16,16
1957,4,0,2,1,0,16,16
1958,4,0,2,1,1,20,16
1959,4,0,2,2,0,16,16
1960,4,0,2,1,1,20,20
1961,4,0,2,2,0,16,20
1962,4,0,2,1,1,20,20
1963,4,0,2,2,0,16,20
1964,4,0,2,1,1,20,16
1965,4,0,2,2,0,16,20
1966,4,0,2,1,1,20,16
1967,4,0,2,2,0,16,20
1968,4,0,2,2,1,20,16
1969,4,0,2,3,0,16,20
1970,4,0,2,3,1,20,16
1971,4,0,2,4,0,16,20
1972,4,0,1,4,1,20,16
1973,4,0,2,3,0,16,20
1974,4,0,1,3,1,20,16
1975,4,0,2,2,0,16,20
1976,4,1,1,2,0,20,16
1977,4,1,2,1,0,20,20
1978,4,2,1,1,0,20,16
1979,4,1,2,0,0,16,20
1980,4,2,1,0,0,16,16
1981,4,1,2,0,0,16,20
1982,4,2,1,0,0,16,16
1983,4,1,2,0,0,16,16
1984,4,2,1,0,0,16,16
1985,4,1,2,0,0,16,16
1986,4,2,1,0,0,16,16
1987,4,1,2,0,0,16,16
1988,4,2,2,0,0,16,16
1989,4,1,2,1,0,20,16
1990,4,2,2,1,0,20,16
1991,4,1,2,2,0,20,16
1992,4,1,2,1,1,20,16
1993,4,0,2,2,0,16,20
1994,4,0,2,1,1,20,16
1995,4,0,2,2,0,16,20
1996,4,0,2,1,1,20,20
1997,4,0,2,2,0,16,20
1998,4,0,2,1,1,20,20
1999,4,0,2,2,0,16,20
2000,4,0,2,2,1,20,20
